0.162937579	0.1447208481	0.1476561319	0.145449605
0.2560052492	0.2630960705	0.2756648722	0.239756506
0.3404973103	0.3204796378	0.3462286011	0.3125333369
0.4025638949	0.3966925063	0.4082212811	0.3738072345
0.4551223369	0.4516442949	0.4475538497	0.4392993702
0.5100557739	0.5033703763	0.4900196531	0.5117485776
0.526070659	0.5271660197	0.5311666321	0.4944381826
0.5589482829	0.5470938375	0.5507375057	0.5314143842
0.5467583582	0.5316761511	0.5451885501	0.5033333129
0.5339741837	0.5322280832	0.5049319833	0.531800236
